code,country,year,population,gdp,human_capital,polity
AGO,Angola,2017,3.393977817846096,12.216886233001789,1.4673211574554443,-2
ALB,Albania,2017,1.0750662390552217,10.419844296726472,2.9511842727661133,9
ARE,United Arab Emirates,2017,2.240725069692399,13.49681646202293,2.7401201725006104,-8
ARG,Argentina,2017,3.7903307809174733,13.49733224985084,3.0354387760162354,9
ARM,Armenia,2017,1.0751559820968706,10.419107602152604,3.130450963973999,5
AUS,Australia,2017,3.196653181850925,14.010820729638871,3.5224807262420654,10
AUT,Austria,2017,2.1673897627330856,12.84955563162997,3.358983039855957,10
BDI,Burundi,2017,2.3854771602826514,9.014474693767648,1.3892734050750732,-1
BEL,Belgium,2017,2.436183347873747,13.023995370959751,3.136449098587036,8
BEN,Benin,2017,2.4137410271407007,10.130133634696552,1.8408331871032715,7
BFA,Burkina Faso,2017,2.9545655458275504,10.300548958664677,1.2585225105285645,6
BGD,Bangladesh,2017,5.103941977503889,13.343432378326163,2.0487515926361084,1
BGR,Bulgaria,2017,1.9579193045765195,11.758295236168792,3.162797451019287,9
BHR,Bahrain,2017,0.4005088394731446,11.008774779777173,2.2372100353240967,-10
BOL,Bolivia (Plurinational State of),2017,2.4025752551443778,11.189995784453139,2.909207582473755,7
BRA,Brazil,2017,5.343712652260597,14.895206216724576,2.9492499828338623,8
BWA,Botswana,2017,0.8292768926678045,10.456075915683135,2.8852996826171875,8
CAF,Central African Republic,2017,1.5388180098783624,8.038439122878197,1.5403989553451538,6
CAN,Canada,2017,3.6007091944311056,14.314562619550523,3.7062931060791016,10
CHE,Switzerland,2017,2.1372391831766584,13.175000181378563,3.687501907348633,10
CHL,Chile,2017,2.8934074592095196,12.897761967054858,3.1078670024871826,10
CHN,China,2017,7.2510026950498006,16.758817422846896,2.56642746925354,-7
CIV,Cote d'Ivoire,2017,3.1902602864147283,11.323875133160165,1.6573388576507568,4
CMR,Cameroon,2017,3.180289919947156,11.244169410214482,1.8900192975997925,-4
COD,"Congo, Democratic Republic",2017,4.398637761660481,11.069253591989442,1.6660287380218506,-3
COG,Congo,2017,1.6602735673306324,10.15961901693119,2.040198564529419,-4
COL,Colombia,2017,3.893158516738688,13.409912816060636,2.5629780292510986,7
