code,country,year,population,gdp,human_capital,polity
NAM,Namibia,2017,0.9297177550872816,10.041263829129036,2.225099563598633,6
NER,Niger,2017,3.0669988135862343,9.887031802567405,1.2119362354278564,5
NGA,Nigeria,2017,5.251677998262161,13.821520275879939,1.924225091934204,7
NIC,Nicaragua,2017,1.8273808914301441,10.3938688701272,2.2413785457611084,6
NLD,Netherlands,2017,2.835325128136782,13.603553037201886,3.3684754371643066,10
NOR,Norway,2017,1.668722004219407,13.001291258953009,3.643134832382202,10
NPL,Nepal,2017,3.3777580952560533,11.248024830383809,1.7700527906417847,6
NZL,New Zealand,2017,1.5487996529819488,12.043205309757745,3.360656976699829,10
PAK,Pakistan,2017,5.283284744204164,13.839724885462857,1.7748057842254639,7
PAN,Panama,2017,1.4106422889798447,11.412309060146294,2.8571937084198,9
PER,Peru,2017,3.4708939951293343,12.847422539588297,2.8029489517211914,9
PHL,Philippines,2017,4.653179958305403,13.605560602749811,2.6869490146636963,8
POL,Poland,2017,3.642068507330952,13.84237629541235,3.404202461242676,10
PRT,Portugal,2017,2.3350044524049225,12.444790042492558,2.4782655239105225,10
PRY,Paraguay,2017,1.9185825484091128,11.017721072172288,2.6047675609588623,9
QAT,Qatar,2017,0.9704799858946008,12.795862164491492,3.092113494873047,-10
ROU,Romania,2017,2.9795676283130064,13.007500706142247,3.233698606491089,9
RUS,Russian Federation,2017,4.969742195329675,15.135812341318449,3.403040885925293,4
RWA,Rwanda,2017,2.502124845711897,10.066617081712783,1.8379607200622559,-3
SAU,Saudi Arabia,2017,3.4946334837031467,14.346232113496976,2.6679980754852295,-10
SDN,Sudan,2017,3.702124574203008,12.053965410301318,1.591111660003662,-4
SEN,Senegal,2017,2.763205263974846,10.80575470899218,1.5795786380767822,7
SGP,Singapore,2017,1.742016583716949,12.886055904368089,3.974208116531372,-2
SLE,Sierra Leone,2017,2.0225023226861145,9.351720993393062,1.6132919788360596,7
SLV,El Salvador,2017,1.8528315072867616,10.717535473102034,2.239347457885742,8
SRB,Serbia,2017,1.950856050665589,11.514247559368147,3.391047954559326,8
SVK,Slovakia,2017,1.6951865031690598,11.905579696429152,3.7937896251678467,10
SVN,Slovenia,2017,0.7323563945356424,10.9967614637434,3.5322117805480957,10
SWE,Sweden,2017,2.2936150620913347,13.02660597886261,3.4159047603607178,10
SWZ,Eswatini,2017,0.3128043625591814,9.226854625146128,2.03013014793396,-9
SYR,Syrian Arab Republic,2017,2.9052531919683107,10.838321387220764,2.5733754634857178,-9
TGO,Togo,2017,2.053828075408043,9.377557296445131,1.7909032106399536,-2
THA,Thailand,2017,4.234650034146861,13.907725269929443,2.743464708328247,-3
TJK,Tajikistan,2017,2.1884464789532196,10.492631152288375,3.0508599281311035,-3
TTO,Trinidad and Tobago,2017,0.3141718559307912,10.57809120342869,3.067850112915039,10
TUN,Tunisia,2017,2.4451368255329706,11.753627153557137,2.6110117435455322,7
TUR,Turkey,2017,4.391296263671545,14.540993385644393,2.4443113803863525,-4
TWN,Taiwan,2017,3.1593603118079963,13.839899831869191,3.290738105773926,10
TZA,U.R. of Tanzania: Mainland,2017,4.02173420395269,11.923082880298976,1.689918875694275,3
UGA,Uganda,2017,3.7580079797498707,11.32117847172943,2.3249902725219727,-1
UKR,Ukraine,2017,3.7892437984245975,12.892022503012369,3.2724430561065674,4
URY,Uruguay,2017,1.240328817008485,11.129345487954422,2.7312982082366943,10
USA,United States of America,2017,5.782160636684285,16.68969782852791,3.7387139797210693,8
VEN,Venezuela (Bolivarian Republic of),2017,3.4650188999611906,12.799434970150884,2.822669267654419,-3
VNM,Viet Nam,2017,4.55955340233681,13.318503084789514,2.7649338245391846,-7
YEM,Yemen,2017,3.341108311170603,10.8646790494253,1.7354553937911987,0
ZAF,South Africa,2017,4.038076730341164,13.431074438833896,2.8092458248138428,9
ZMB,Zambia,2017,2.838735104121791,10.994458743061344,2.6024248600006104,6
ZWE,Zimbabwe,2017,2.8051710686135163,10.36209544159336,2.6482479572296143,4
